School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Adams State,RMAC,Lars Ostermann,So.,,,,International,"Untersiggenthal, Switzerland",Switzerland,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Goalkeeper
Chowan,SAC,Hassan Mutaasa,Sr.,,,,International,"Kampala, Uganda",Uganda,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2026,Midfielder
Chowan,SAC,Colson Varnadoe,Fr.,,,,USA,"Walterboro, SC",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2029,Midfielder
Chowan,SAC,Alexis Enriquez,Fr.,,,,USA,"Winston-Salem, N.C.",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2029,Goalkeeper
Chowan,SAC,Diego Bernardi,Fr.,,,,USA,"Palm Coast, Fl",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2029,Forward
Chowan,SAC,Danny Lopez,So.,,,,USA,"Thomasville, N.C.",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2028,Midfielder
Chowan,SAC,Dakota Reynolds,Sr.,,,,USA,"Norfolk, Va.",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2026,Goalkeeper
Chowan,SAC,Landon Jewett,So.,,,,USA,"Charlotte, N.C.",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2028,Defender
Chowan,SAC,Nesuwo Mavindidze,Jr.,,,,USA,"Raleigh,NC",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2027,Forward
Chowan,SAC,Kelechi Akujuobi,Fr.,,,,USA,"Suffolk, VA",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2029,Midfielder
Chowan,SAC,Finley Scott,So.,,,,International,"Enfield, England",United Kingdom,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2028,Defender
Chowan,SAC,Nick Schilling,So.,,,,USA,"Yorktown, Va.",,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2028,Forward
Chowan,SAC,Sam Deacon,So.,,,,International,"Bradford, England",United Kingdom,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2028,Forward
Chowan,SAC,Hlynur Fridriksson,So.,,,,International,"Gardabaer, Iceland",Iceland,,https://gocuhawks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 49%,2028,Forward
Christian Brothers,GSC,Jakob Morales,Jr.,,,,USA,"Mandeville, La.",,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2027,Goalkeeper
Christian Brothers,GSC,Daniel Moreno Gomez,So.,,,,International,"Vitoria-Gasteiz, Spain",Spain,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2028,Defender
Christian Brothers,GSC,Isaac Thomas,Gr.,,,,International,"Blandford, UK",United Kingdom,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2025,Midfielder
Christian Brothers,GSC,Olaf Kramer,Sr.,,,,International,"The Hague, Netherlands",Netherlands,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2026,Midfielder
Christian Brothers,GSC,Lauri Orava,Fr.,,,,International,"Lempäälä, Finland",Finland,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2029,Forward
Christian Brothers,GSC,Asaki Nakamura,Jr.,,,,International,"Gunma, Japan",Japan,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2027,Midfielder
Christian Brothers,GSC,Alexander Blanche,Jr.,,,,USA,"New Orleans, La.",,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2027,Forward
Christian Brothers,GSC,Omarion Velasquez,So.,,,,USA,"Trujillo Alto, Puerto Rico",,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2028,Defender
Christian Brothers,GSC,Alessandro Bazan,Jr.,,,,International,"Trujillo, Peru",Peru,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2027,Midfielder
Christian Brothers,GSC,Juan Minguez Malonda,Jr.,,,,International,"Valencia, Spain",Spain,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2027,Midfielder
Christian Brothers,GSC,Daiki Ebihara,So.,,,,International,"Saitama, Japan",Japan,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2028,Midfielder
Christian Brothers,GSC,Will Allen,Jr.,,,,USA,"Madisonville, La.",,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2027,Midfielder
Christian Brothers,GSC,Julian Carriea,Jr.,,,,USA,"Carolina, Puerto Rico",,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2027,Defender
Christian Brothers,GSC,Roberto Lagoa,Jr.,,,,International,"Vigo, Spain",Spain,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2027,Forward
Christian Brothers,GSC,Matthias Randeberg,So.,,,,International,"Stavanger, Norway",Norway,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2028,Midfielder
Christian Brothers,GSC,Christian Briotti,Gr.,,,,International,"Rome, Italy",Italy,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2025,Forward
Christian Brothers,GSC,AJ Agbede,Sr.,,,,International,"London, UK",United Kingdom,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2026,Defender
Christian Brothers,GSC,Bryson Broadwater,Fr.,,,,USA,"Kingsport, Tenn.",,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2029,Midfielder
Christian Brothers,GSC,Ewan Mullett,So.,,,,International,"Nelson, New Zealand",New Zealand,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2028,Goalkeeper
Christian Brothers,GSC,Vicent Sanchis Olmedo,Gr.,,,,International,"Valencia, Spain",Spain,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2025,Goalkeeper
Christian Brothers,GSC,Michael Lizano,Fr.,,,,USA,"New Orleans, La.",,,https://cbubucs.com/sports/mens-soccer/roster/2024,High,URL discovered from scratch (no source URL was on record); 2025 name overlap 81%,2029,Forward
Clayton State,Peach Belt,Rodrigo Julian,Fr.,,,,USA,"Norcross, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2029,Goalkeeper
Clayton State,Peach Belt,Mauricio Uribe,Sr.,,,,USA,"Miami, Fla.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2026,Goalkeeper
Clayton State,Peach Belt,Isami Takeuchi,Sr.,,,,USA,"Atlanta, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2026,Defender
Clayton State,Peach Belt,Aaron Overmars,Gr.,,,,International,"Amsterdam, The Netherlands",Netherlands,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2025,Defender
Clayton State,Peach Belt,Mohamed Mahrous,Gr.,,,,International,"Marrakech, Morocco",Morocco,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2025,Defender
Clayton State,Peach Belt,Othmane Chagour,Gr.,,,,International,"Casablanca, Morocco",Morocco,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2025,Defender
Clayton State,Peach Belt,Miguel Torrecillas,Jr.,,,,International,"Albacete, Spain",Spain,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2027,Midfielder
Clayton State,Peach Belt,Hector Nieto,So.,,,,International,"Venta de Baños, Spain",Spain,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2028,Midfielder
Clayton State,Peach Belt,Fallah Johnson,So.,,,,International,"Monrovia, Liberia",Liberia,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2028,Forward
Clayton State,Peach Belt,Gonzalo LaChica,Sr.,,,,International,"Malaga, Spain",Spain,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2026,Forward
Clayton State,Peach Belt,Alexis Iturria,Sr.,,,,USA,"Hampton, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2026,Midfielder
Clayton State,Peach Belt,Camilo Velez,So.,,,,USA,"Peachtree City, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2028,Midfielder
Clayton State,Peach Belt,Andree Jimenez,Jr.,,,,USA,"Flowery Branch, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2027,Defender
Clayton State,Peach Belt,Erick Ferreira Rodriguez,Sr.,,,,USA,"Marietta, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2026,Defender
Clayton State,Peach Belt,Camilo Montero,Jr.,,,,USA,"Roswell, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2027,Midfielder
Clayton State,Peach Belt,Dylan Cabrera,Fr.,,,,USA,"Stephenville,Texas",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2029,Midfielder
Clayton State,Peach Belt,Gustavo Canas,So.,,,,USA,"Atlanta, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2028,Midfielder
Clayton State,Peach Belt,Alex Rodriguez,So.,,,,International,"Valladolid, Spain",Spain,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2028,Midfielder
Clayton State,Peach Belt,Charlie Longino,Jr.,,,,USA,"College Park, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2027,Midfielder
Clayton State,Peach Belt,Manoel Neto,Fr.,,,,International,"Anápolis, Brazil",Brazil,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2029,Midfielder
Clayton State,Peach Belt,Brock Williams,Fr.,,,,USA,"Bainbridge, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2029,Forward
Clayton State,Peach Belt,Aaron Diaz,So.,,,,USA,"Winder, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2028,Midfielder
Clayton State,Peach Belt,Vic Delgado Miller,Sr.,,,,USA,"Atlanta, GA",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2026,Midfielder
Clayton State,Peach Belt,Emmanuel Alerte,Sr.,,,,USA,"Dallas, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2026,Forward
Clayton State,Peach Belt,Hamsel Gallegos,So.,,,,USA,"Fayetteville, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2028,Midfielder
Clayton State,Peach Belt,David Magala,Sr.,,,,USA,"Tucker, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2026,Goalkeeper
Clayton State,Peach Belt,Edgar Nunez,Fr.,,,,USA,"Jonesboro, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2029,Midfielder
Clayton State,Peach Belt,Rhys Pollard,So.,,,,USA,"Atlanta, Ga.",,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2028,Defender
Clayton State,Peach Belt,Khame Tip,Fr.,,,,International,"Chonburi, Thailand",Thailand,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2029,Defender
Clayton State,Peach Belt,Jussi Gerberding,Jr.,,,,International,"Gottingen, Germany",Germany,,https://claytonstatesports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 47%,2027,Defender
Coker,SAC,Carter Nunnery,Jr.,,,,USA,"Lancaster, SC / Furman University",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Goalkeeper
Coker,SAC,Jonathan Burr,Sr.,,,,USA,"Hartsville, SC / Hartsville HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Midfielder
Coker,SAC,Lukas Berntsson,Sr.,,,,International,"Gothenburg, Sweden / Agneberg",Sweden,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Defender
Coker,SAC,Nikola Sotra,Sr.,,,,International,"Norrkoumlping, Sweden / Georgia Southern University",Sweden,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Midfielder
Coker,SAC,Youri Keijser,Jr.,,,,International,"Eindhoven, Netherlands / Rodenborch and Sint-Joris College",Netherlands,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Coker,SAC,Matty Tricker,Sr.,,,,International,"Ipswich, England / Westbourne Academy",United Kingdom,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Defender
Coker,SAC,Rodrigo Tostado,Jr.,,,,International,"Mexico City, Mexico / Freed-Hardeman University",Mexico,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Forward
Coker,SAC,Jacob DeAntonio,Sr.,,,,USA,"Charleston, SC / West Ashley HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Midfielder
Coker,SAC,Tyler Schwartz,Fr.,,,,USA,"Indian Land, SC / Charlotte Soccer Academy",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Midfielder
Coker,SAC,Myles Jackson,Jr.,,,,International,"York, England / Queen Ethelburgas",United Kingdom,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Coker,SAC,Jagar Love,Fr.,,,,USA,"Jacksonville, FL / Creekside HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Midfielder
Coker,SAC,Tanner Williams,Sr.,,,,USA,"Little River, SC / North Myrtle Beach HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Defender
Coker,SAC,Juan Diego Millan,Jr.,,,,USA,"Okatie, SC / Erskine College",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Coker,SAC,George Cobb IV,Jr.,,,,USA,"Easley, SC / Easley HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Defender
Coker,SAC,Ben Lewis,Jr.,,,,USA,"Little River, SC / North Myrtle Beach HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Coker,SAC,Christian Utley,Sr.,,,,USA,"Charlotte, NC / Olympic HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Midfielder
Coker,SAC,Jackson Yager,Sr.,,,,USA,"Mount Pleasant, SC / Oceanside Collegiate Academy",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Midfielder
Coker,SAC,Wyatt Grantham,Sr.,,,,USA,"Rock Hill, SC / South Pointe HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Forward
Coker,SAC,Owen Horn,Jr.,,,,USA,"Easley, SC / Easley HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Forward
Coker,SAC,Nick Hallis,Jr.,,,,USA,"Hope Mills, NC / Grays Creek HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Coker,SAC,Yahir Perez-Lora,Jr.,,,,USA,"Raleigh, NC / Millbrook HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Coker,SAC,Neb Sneath,Jr.,,,,USA,"Little Mountain, SC / Heathwood Hall Episcopal School",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Forward
Coker,SAC,Plamedi Warsinsky,Fr.,,,,USA,"Gastonia, NC / Forestview High School",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Defender
Coker,SAC,Paul Woods,Fr.,,,,USA,"Indian Trail, NC / Charlotte Soccer Academy",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Defender
Coker,SAC,Marcus DaCosta,Jr.,,,,USA,"Charlotte, NC / Mount Saint Agnes Academy",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Forward
Coker,SAC,Mitchel Starrs,Sr.,,,,International,"Stirling, Scotland / Dunblane HS",United Kingdom,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Forward
Coker,SAC,Mason Hill,Fr.,,,,USA,"Swanzey, NH / New England FC",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Defender
Coker,SAC,Jaymes Hayward,Jr.,,,,USA,"Moncks Corner, SC / Berkeley HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Coker,SAC,Diego Campo,,,,,USA,"Pageland, SC / Central HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,,Midfielder
Coker,SAC,Drew Martinez,Jr.,,,,USA,"Bennettsville, SC / Marlboro County HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Coker,SAC,Prince Elenwo,Fr.,,,,USA,"Summerville, SC / Fort Dorchester HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Defender
Coker,SAC,Robert Spence,Sr.,,,,USA,"Florence, SC / West Florence HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2026,Defender
Coker,SAC,Braeden Rasco,Jr.,,,,USA,"Easley, SC / Pickens HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Goalkeeper
Coker,SAC,Brice Fuleihan,Fr.,,,,USA,"Florence, SC / South Florence HS",,,https://www.cokercobras.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Goalkeeper
Colorado Christian,RMAC,Owen Sutherland,Jr.,,,,USA,"Colorado Springs, CO",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2027,Goalkeeper
Colorado Christian,RMAC,Beckett Pomeroy,So.,,,,USA,"Edmond, OK",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2028,Goalkeeper
Colorado Christian,RMAC,Jailon Gillespie,Gr.,,,,USA,"Laurel, DE",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2025,Goalkeeper
Colorado Christian,RMAC,Avery Hipps,Jr.,,,,USA,"Atlanta, GA",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2027,Forward
Colorado Christian,RMAC,Bodie Curtis,Fr.,,,,USA,"Centennial, CO",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2029,Defender
Colorado Christian,RMAC,Caleb Dodge,Sr.,,,,USA,"Colorado Springs, CO",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2026,Defender
Colorado Christian,RMAC,Findlay Coleman,Fr.,,,,International,"Chepstow, Wales",United Kingdom,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2029,Defender
Colorado Christian,RMAC,Zane Jacobson,Sr.,,,,USA,"Westminster, CO",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2026,Midfielder
Colorado Christian,RMAC,Daniel Garciacano,Sr.,,,,USA,"Denver, CO",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2026,Defender
Colorado Christian,RMAC,Tiago Gomes,So.,,,,International,"Viana do Castello, Portugal",Portugal,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2028,Forward
Colorado Christian,RMAC,Corey Smith,Sr.,,,,International,"George Town, Cayman Islands",Cayman Islands,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2026,Forward
Colorado Christian,RMAC,Adrian Diez,Sr.,,,,International,"Oviedo, Spain",Spain,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2026,Forward
Colorado Christian,RMAC,Arthur Santana,Gr.,,,,USA,"El Paso, TX",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2025,Midfielder
Colorado Christian,RMAC,Dylan Hall,Jr.,,,,USA,"Anthem, AZ",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2027,Midfielder
Colorado Christian,RMAC,Gabe Roloff,Gr.,,,,International,"Taichung, Taiwan",Taiwan,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2025,Forward
Colorado Christian,RMAC,Cooper Collins,Fr.,,,,USA,"Waukee, IA",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2029,Midfielder
Colorado Christian,RMAC,Lucas Peruzo,Jr.,,,,International,"São Paulo, Brazil",Brazil,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2027,Forward
Colorado Christian,RMAC,Lucca Casci,Sr.,,,,USA,"Sparks, NV",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2026,Midfielder
Colorado Christian,RMAC,Drew Brown,Sr.,,,,USA,"Saratoga Springs, UT",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2026,Forward
Colorado Christian,RMAC,Mac Weaver,Jr.,,,,USA,"Omaha, NE",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2027,Defender
Colorado Christian,RMAC,Dumisani Luthayi,Jr.,,,,International,"Durban, South Africa",South Africa,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2027,Midfielder
Colorado Christian,RMAC,Cole Foresman,Jr.,,,,USA,"Shawnee, KS",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2027,Midfielder
Colorado Christian,RMAC,Shane Donnelly,So.,,,,USA,"Bloomingdale, IL",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2028,Midfielder
Colorado Christian,RMAC,Evan Garelick,Fr.,,,,USA,"Tucson, AZ",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2029,Midfielder
Colorado Christian,RMAC,Dylan Segovia,Fr.,,,,USA,"Overland Park, KS",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2029,Midfielder
Colorado Christian,RMAC,Kyan Cameron,So.,,,,USA,"Queen Creek, AZ",,,https://ccucougars.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 46%,2028,Goalkeeper
Colorado Mesa,RMAC,Diego Chavez,R-Jr.,,,,USA,"Longmont, Colo.",,,https://cmumavericks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 67%,2027,Goalkeeper
